# 20200701_095915_Spectrum_A100-I6.csv
Wavelength (nm)	Intensity	Corrected
Unusable	2244
Dark	1942
Dark	1970
Dark	1966
Bevel	2000
Bevel	1995
Bevel	1996
Bevel	2000
Bevel	1997
Bevel	2003
628.35	2007	2007.0
628.64	2004	2004.0
628.93	2006	2006.0
629.22	2011	2011.0
629.51	2004	2004.0
629.80	2002	2002.0
630.09	2002	2002.0
630.38	2007	2007.0
630.67	2005	2005.0
630.96	2008	2008.0
631.25	2002	2002.0
631.53	2005	2005.0
631.82	2009	2009.0
632.11	2002	2002.0
632.40	2007	2007.0
632.69	2004	2004.0
632.98	2005	2005.0
633.27	2001	2001.0
633.56	2003	2003.0
633.85	2004	2004.0
634.14	2005	2005.0
634.43	2003	2003.0
634.71	2002	2002.0
635.00	2004	2004.0
635.29	2005	2005.0
635.58	2002	2002.0
635.87	2007	2007.0
636.16	2004	2004.0
636.44	2006	2006.0
636.73	2000	2000.0
637.02	2005	2005.0
637.31	2007	2007.0
637.60	2004	2004.0
637.88	2004	2004.0
638.17	2005	2005.0
638.46	2010	2010.0
638.75	2003	2003.0
639.04	2004	2004.0
639.32	2005	2005.0
639.61	2002	2002.0
639.90	2006	2006.0
640.18	2006	2006.0
640.47	2008	2008.0
640.76	2007	2007.0
641.05	2009	2009.0
641.33	2010	2010.0
641.62	2012	2012.0
641.91	2017	2016.9
642.19	2008	2008.0
642.48	2009	2009.0
642.77	2005	2005.0
643.05	2004	2004.0
643.34	2001	2001.0
643.63	2000	2000.0
643.91	2000	2000.0
644.20	2001	2001.0
644.49	2006	2006.0
644.77	2001	2001.0
645.06	2005	2005.0
645.34	2007	2007.0
645.63	1999	1999.0
645.92	2002	2002.0
646.20	2008	2008.0
646.49	2005	2005.0
646.77	2003	2003.0
647.06	2004	2004.0
647.34	2001	2001.0
647.63	2007	2007.0
647.91	2002	2002.0
648.20	2004	2004.0
648.48	2003	2003.0
648.77	2004	2004.0
649.05	2005	2005.0
649.34	2004	2004.0
649.62	2003	2003.0
649.91	2000	2000.0
650.19	2002	2002.0
650.48	2005	2005.0
650.76	2008	2008.0
651.05	2002	2002.0
651.33	2004	2004.0
651.62	2004	2004.0
651.90	2006	2006.0
652.18	2003	2003.0
652.47	2005	2005.0
652.75	2009	2009.0
653.04	2000	2000.0
653.32	2003	2003.0
653.60	2004	2004.0
653.89	2004	2004.0
654.17	2006	2006.0
654.46	2006	2006.0
654.74	2001	2001.0
655.02	2005	2005.0
655.31	2005	2005.0
655.59	2007	2007.0
655.87	2003	2003.0
656.16	2003	2003.0
656.44	2009	2009.0
656.72	2005	2005.0
657.01	2003	2003.0
657.29	1999	1999.0
657.57	2005	2005.0
657.85	2004	2004.0
658.14	2003	2003.0
658.42	2002	2002.0
658.70	2003	2003.0
658.98	2006	2006.0
659.27	2005	2005.0
659.55	2003	2003.0
659.83	2002	2002.0
660.11	2007	2007.0
660.40	2007	2007.0
660.68	2007	2007.0
660.96	2007	2007.0
661.24	2006	2006.0
661.52	2006	2006.0
661.81	2002	2002.0
662.09	2005	2005.0
662.37	2005	2005.0
662.65	2004	2004.0
662.93	2002	2002.0
663.21	2004	2004.0
663.49	2001	2001.0
663.78	2007	2007.0
664.06	2004	2004.0
664.34	2007	2007.0
664.62	2005	2005.0
664.90	2004	2004.0
665.18	2003	2003.0
665.46	2004	2004.0
665.74	2005	2005.0
666.02	2006	2006.0
666.30	2008	2008.0
666.58	2012	2012.0
666.86	2020	2019.9
667.14	2027	2026.9
667.43	2048	2047.8
667.71	2068	2067.8
667.99	2077	2076.7
668.27	2024	2023.9
668.55	2013	2013.0
668.83	2007	2007.0
669.11	2007	2007.0
669.39	2004	2004.0
669.67	2004	2004.0
669.94	2004	2004.0
670.22	2003	2003.0
670.50	2007	2007.0
670.78	2004	2004.0
671.06	2005	2005.0
671.34	2005	2005.0
671.62	2004	2004.0
671.90	2008	2008.0
672.18	2005	2005.0
672.46	2005	2005.0
672.74	2009	2009.0
673.02	2004	2004.0
673.30	2001	2001.0
673.57	2007	2007.0
673.85	2013	2013.0
674.13	2003	2003.0
674.41	2005	2005.0
674.69	2014	2013.9
674.97	2018	2017.9
675.25	2029	2028.9
675.52	2033	2032.9
675.80	2008	2008.0
676.08	2010	2010.0
676.36	2010	2010.0
676.64	2004	2004.0
676.91	2005	2005.0
677.19	2007	2007.0
677.47	2004	2004.0
677.75	2004	2004.0
678.02	2003	2003.0
678.30	2001	2001.0
678.58	2003	2003.0
678.86	2007	2007.0
679.13	2004	2004.0
679.41	2005	2005.0
679.69	2006	2006.0
679.97	2008	2008.0
680.24	2004	2004.0
680.52	2007	2007.0
680.80	2004	2004.0
681.07	2005	2005.0
681.35	2001	2001.0
681.63	2008	2008.0
681.90	2003	2003.0
682.18	2001	2001.0
682.46	2004	2004.0
682.73	2007	2007.0
683.01	2003	2003.0
683.29	2009	2009.0
683.56	2004	2004.0
683.84	2005	2005.0
684.11	2004	2004.0
684.39	2005	2005.0
684.67	2003	2003.0
684.94	2008	2008.0
685.22	2005	2005.0
685.49	2008	2008.0
685.77	2006	2006.0
686.04	2008	2008.0
686.32	2009	2009.0
686.60	2014	2013.9
686.87	2025	2024.9
687.15	2030	2029.9
687.42	2027	2026.9
687.70	2007	2007.0
687.97	2008	2008.0
688.25	2007	2007.0
688.52	2007	2007.0
688.80	2011	2011.0
689.07	2010	2010.0
689.35	2008	2008.0
689.62	2011	2011.0
689.89	2015	2014.9
690.17	2025	2024.9
690.44	2035	2034.9
690.72	2050	2049.8
690.99	2053	2052.8
691.27	2018	2017.9
691.54	2012	2012.0
691.82	2013	2013.0
692.09	2013	2013.0
692.36	2009	2009.0
692.64	2009	2009.0
692.91	2013	2013.0
693.18	2016	2015.9
693.46	2022	2021.9
693.73	2027	2026.9
694.01	2026	2025.9
694.28	2027	2026.9
694.55	2053	2052.8
694.83	2066	2065.8
695.10	2131	2130.6
695.37	2288	2287.1
695.64	2852	2849.5
695.92	4248	4243.3
696.19	6081	6076.6
696.46	8029	8028.5
696.74	9277	9280.7
697.01	4521	4516.1
697.28	2808	2805.6
697.55	2492	2490.5
697.83	2281	2280.1
698.10	2162	2161.5
698.37	2101	2100.7
698.64	2069	2068.8
698.92	2062	2061.8
699.19	2052	2051.8
699.46	2042	2041.9
699.73	2036	2035.9
700.01	2036	2035.9
700.28	2034	2033.9
700.55	2033	2032.9
